segment_id,system_id,BERTScore,BLEU,BLEURT-20,COMET-22,CometKiwi,GEMBA-ESA,MEE4,MQM,MetricX-24-Hybrid,MetricX-24-Hybrid-QE,PrismRefMedium,PrismRefSmall,XCOMET,XCOMET-QE,XLsimMqm,YiSi-1,chrF,chrfS,damonmonli,metametrics_mt_mqm_hybrid,metametrics_mt_mqm_qe,sentinel-cand,sentinel-ref,sentinel-src,spBLEU
20,ONLINE-B,0.8553,23.8083,0.7481,0.8420,0.8682,100,0.8238,-0,-0.7354,-0.6342,-0.6682,-0.8335,0.9861,0.9786,0.9010,0.9408,65.7689,0.7732,56.7415,1.4169,1.1558,0.3794,0.3049,0.3846,34.3548
20,ONLINE-W,0.8661,23.7755,0.7543,0.8360,0.8657,100,0.8218,-0,-0.7979,-0.6623,-0.6767,-0.8786,0.9961,0.9961,0.9029,0.9462,66.0571,0.7775,57.9400,1.4124,1.1501,0.3669,0.3049,0.3846,33.9625
20,TranssionMT,0.8553,23.8083,0.7479,0.8420,0.8683,100,0.8238,-0,-0.7250,-0.6366,-0.6717,-0.8335,0.9861,0.9786,0.9010,0.9408,65.7689,0.7732,56.7415,1.4169,1.1558,0.3794,0.3049,0.3846,34.3548
20,Unbabel-Tower70B,0.8438,29.4207,0.7387,0.8377,0.8718,100,0.8087,-1,-0.8744,-0.7555,-0.7269,-0.9237,0.9657,0.9458,0.9074,0.9305,63.1052,0.7527,55.4868,1.4049,1.1581,0.3811,0.3049,0.3846,34.9484
20,refB,0.8294,8.2046,0.6758,0.7480,0.8384,95,0.7888,-1,-1.4548,-1.3175,-0.9194,-1.2839,0.9409,0.9174,0.9071,0.9098,58.4131,0.7182,57.3290,1.3606,1.1812,0.1295,0.3049,0.3846,23.2324
21,A,0.6336,5.7013,0.0905,0.3091,0.1596,0,0.3298,null,-20.7552,-20.4943,-1.4925,-1.5858,-0.0468,-0.0379,0.7123,0.8370,29.6814,0.3102,12.9897,0.1152,0.1523,-1.9314,0.2559,0.3889,3.1712
21,Aya23,0.8068,11.4073,0.7231,0.8060,0.8632,100,0.7726,-5,-1.6565,-1.1492,-0.8798,-1.0575,0.9663,0.9729,0.8975,0.9049,39.3055,0.6373,53.3927,1.3706,1.1586,0.4969,0.2559,0.3889,12.8300
21,B (50k),0.7244,4.6290,0.2419,0.3806,0.3009,0,0.6087,null,-21.6865,-21.6403,-1.8926,-1.9678,-0.0435,-0.0268,0.6811,0.8601,35.2536,0.5076,30.0307,0.1289,0.1693,-2.4582,0.2559,0.3889,8.8280
21,C,0.7272,3.7987,0.1667,0.3446,0.2340,0,0.6121,null,-19.2712,-19.2528,-1.7410,-1.8617,-0.0441,-0.0302,0.8071,0.8597,38.0715,0.5217,26.5780,0.1203,0.1615,-2.2590,0.2559,0.3889,1.7935
21,Claude-3.5,0.8133,15.3419,0.7086,0.8283,0.8748,100,0.8029,-2,-2.0194,-1.4135,-0.8564,-1.0300,0.9655,0.9850,0.7490,0.9145,49.0326,0.6900,53.3762,1.3520,1.1809,0.4446,0.2559,0.3889,17.2111
21,CommandR-plus,0.8262,15.8390,0.7396,0.8390,0.8747,100,0.8031,-1,-1.5265,-1.0871,-0.7395,-0.8895,0.9836,0.9969,0.8903,0.9189,50.3636,0.6960,53.7494,1.3850,1.1509,0.4216,0.2559,0.3889,16.6264
21,D (50k),0.7257,1.8518,0.1894,0.3285,0.3134,10,0.5767,null,-21.7274,-21.8187,-2.1188,-2.2630,-0.0116,0.0316,0.7624,0.8639,31.6161,0.4756,37.6893,0.1377,0.4921,-1.8545,0.2559,0.3889,4.5242
21,Dubformer,0.7851,8.9168,0.7228,0.8153,0.8702,100,0.7573,-0.2000,-1.5689,-1.0332,-0.8942,-1.1003,0.9662,0.9721,0.7728,0.9062,37.6768,0.6196,54.0179,1.3679,1.1559,0.4498,0.2559,0.3889,7.4167
