segment_id,system_id,BERTScore,BLEU,BLEURT-20,COMET-22,CometKiwi,GEMBA-ESA,MEE4,MQM,MetricX-24-Hybrid,MetricX-24-Hybrid-QE,PrismRefMedium,PrismRefSmall,XCOMET,XCOMET-QE,XLsimMqm,YiSi-1,chrF,chrfS,damonmonli,metametrics_mt_mqm_hybrid,metametrics_mt_mqm_qe,sentinel-cand,sentinel-ref,sentinel-src,spBLEU
69,D,0.7987,33.9282,0.3824,0.6369,0.4203,50,0.6841,null,-13.7464,-13.9545,-1.2417,-1.3625,0.2577,0.2136,0.9561,0.7797,31.4950,0.5705,46.5411,0.4263,0.4212,-1.8617,-0.5510,-0.8631,32.0944
69,DLUT_GTCOM,0.8827,50.4936,0.7125,0.8823,0.8641,100,0.7231,-0,-5.0913,-6.1086,-0.9420,-1.1007,0.8372,0.8120,0.9663,0.8742,44.7950,0.6492,51.3398,1.2875,0.9155,-0.2448,-0.5510,-0.8631,49.1163
69,E,0.7931,31.8181,0.4168,0.6373,0.4819,66,0.6752,null,-14.1127,-15.1317,-1.3188,-1.4771,0.3997,0.3351,0.9562,0.7729,29.0746,0.5554,46.1225,0.6138,0.4912,-1.7215,-0.5510,-0.8631,31.1589
69,F*,0.8160,40.3282,0.5240,0.7418,0.6788,70,0.6910,-0,-8.8683,-10.4385,-1.3251,-1.4407,0.5592,0.4425,0.9697,0.8004,35.7906,0.5909,48.3603,1.0034,0.6411,-1.3821,-0.5510,-0.8631,38.5735
69,GPT-4,0.8831,46.4897,0.6950,0.8857,0.8619,100,0.7217,-0,-5.0907,-5.9770,-1.0757,-1.1952,0.8484,0.8257,0.9645,0.8769,40.7798,0.6333,52.3120,1.2969,0.8993,-0.2106,-0.5510,-0.8631,43.9420
69,Gemini-1.5-Pro,0.8737,50.5853,0.6383,0.8612,0.8579,100,0.7134,-0,-5.5439,-6.7059,-1.0070,-1.1755,0.8100,0.7844,0.9509,0.8622,45.5507,0.6456,51.4862,1.2763,0.8693,-0.4005,-0.5510,-0.8631,49.2586
69,IKUN-C,0.8587,47.6307,0.6681,0.8764,0.8405,100,0.7034,-0,-4.7075,-5.5308,-1.1673,-1.4027,0.7682,0.7360,0.9577,0.8459,41.4286,0.6239,51.8627,1.2616,0.9736,-0.1041,-0.5510,-0.8631,45.2854
69,IOL_Research,0.8782,45.3412,0.7031,0.8959,0.8625,100,0.7207,-2,-5.0240,-5.8456,-1.0201,-1.2523,0.8379,0.7744,0.9583,0.8709,39.3464,0.6273,53.3014,1.3175,0.9366,-0.1076,-0.5510,-0.8631,44.1973
69,Llama3-70B,0.8635,41.4329,0.6466,0.8605,0.8193,100,0.7164,-0,-4.9026,-5.1696,-0.9468,-1.1059,0.6777,0.5650,0.9666,0.8559,38.1936,0.6202,54.7848,1.2685,0.8477,-0.4660,-0.5510,-0.8631,39.7224
69,NTTSU,0.8750,51.4055,0.7098,0.8654,0.8119,80,0.7212,-1,-6.7079,-8.3322,-1.1672,-1.2864,0.7173,0.7103,0.9576,0.8644,45.7183,0.6514,52.2694,1.2495,0.8295,-0.3345,-0.5510,-0.8631,49.9344
69,ONLINE-B,0.8861,52.4546,0.6719,0.8780,0.8184,100,0.7200,-4,-6.3895,-7.4088,-1.2182,-1.3424,0.7618,0.6699,0.9496,0.8794,48.0210,0.6599,49.5357,1.1708,0.7702,-0.0436,-0.5510,-0.8631,49.4601
69,Team-J,0.8799,40.1868,0.6908,0.8950,0.8796,100,0.7206,-0,-5.0154,-5.4434,-0.9950,-1.1333,0.8653,0.8477,0.9562,0.8725,37.3745,0.6172,53.6555,1.3376,1.0062,0.0047,-0.5510,-0.8631,41.3312
69,Unbabel-Tower70B,0.8785,47.3564,0.7394,0.8867,0.8531,100,0.7257,-0,-4.3618,-4.8865,-1.0153,-1.2892,0.7837,0.6531,0.9565,0.8761,44.2987,0.6492,54.4602,1.3108,0.8909,-0.1292,-0.5510,-0.8631,47.9237
70,A,0.4838,1.6230,0.0828,0.3273,0.2585,0,0.0299,null,-18.4020,-18.3360,-1.9993,-2.4964,-0.0123,-0.0008,0.8670,0.4480,1.2920,0.0179,14.0117,0.1213,0.1678,-2.2527,0.5493,0.3688,1.8017
70,Aya23,0.8907,34.7582,0.7833,0.9222,0.8458,100,0.7186,-1,-3.2970,-3.8513,-1.0355,-1.1534,0.9900,0.9795,0.9745,0.8906,30.5227,0.5899,55.5813,1.4410,1.1455,0.3983,0.5493,0.3688,22.0618
70,B,0.5876,2.2574,0.2502,0.4343,0.2340,0,0.3164,null,-16.0034,-15.4267,-3.0067,-3.3738,-0.0167,-0.0200,0.9320,0.5723,4.3210,0.2167,28.6209,0.1521,0.1615,-1.7043,0.5493,0.3688,2.1301
70,C,0.7601,14.0946,0.5640,0.7678,0.4971,33,0.6076,null,-7.5490,-7.6594,-1.4935,-1.6984,0.4212,0.4000,0.9652,0.7483,12.8862,0.4461,50.7245,1.1304,0.8996,0.2378,0.5493,0.3688,11.2146
70,Claude-3.5,0.8151,23.7462,0.6792,0.8991,0.8641,100,0.6886,-0,-3.9930,-3.8751,-1.3682,-1.2906,0.9743,0.9623,0.9779,0.8289,26.5727,0.5548,54.4884,1.4007,1.1386,0.3559,0.5493,0.3688,22.8722
70,CommandR-plus,0.8880,25.7240,0.6935,0.9158,0.8613,100,0.7054,-0,-3.6140,-3.6085,-0.9325,-1.0746,0.9698,0.9444,0.9772,0.8873,24.8574,0.5622,56.6935,1.4227,1.1374,0.4435,0.5493,0.3688,19.5239
70,D,0.8078,18.4032,0.5603,0.7378,0.5255,33,0.6652,null,-9.8026,-10.1833,-1.3892,-1.6174,0.6148,0.6059,0.9740,0.8014,17.8848,0.5021,51.8666,1.1367,0.9979,0.1009,0.5493,0.3688,15.2423
70,DLUT_GTCOM,0.8972,37.5344,0.7962,0.9206,0.8594,100,0.7350,-0,-3.3749,-3.7688,-0.6201,-0.7021,0.9676,0.9527,0.9647,0.8893,31.2743,0.6014,58.1096,1.4300,1.1646,0.6068,0.5493,0.3688,29.0556
70,E,0.7795,8.7043,0.5112,0.6783,0.4659,33,0.6510,null,-14.2943,-14.1106,-1.9621,-2.1342,0.3765,0.1841,0.9751,0.7651,10.8005,0.4669,49.2414,0.9526,0.8557,-0.4869,0.5493,0.3688,9.3761
70,F*,0.8680,24.5899,0.6104,0.8754,0.7043,66,0.7012,-0,-6.4190,-7.5442,-1.0434,-1.2591,0.5803,0.4641,0.9685,0.8527,21.8779,0.5413,52.5492,1.2690,0.9989,0.2939,0.5493,0.3688,19.8422
70,GPT-4,0.8221,13.9746,0.5817,0.8759,0.8245,100,0.6840,-0,-4.4468,-4.4245,-1.4719,-1.4918,0.9206,0.9604,0.9756,0.8224,15.9338,0.5147,54.5089,1.3734,1.1214,0.3149,0.5493,0.3688,9.2264
70,Gemini-1.5-Pro,0.8218,14.7526,0.6992,0.8788,0.8484,66,0.6663,-0,-3.7784,-4.0974,-1.7573,-1.9540,0.9444,0.9833,0.9784,0.8189,15.5635,0.5015,55.3437,1.3944,1.1214,0.4539,0.5493,0.3688,9.8701
70,IKUN-C,0.7802,18.3987,0.7199,0.8726,0.8739,33,0.6358,-0,-3.3877,-3.3121,-1.8252,-1.9266,0.9653,0.9721,0.9695,0.7788,19.1940,0.4948,55.0403,1.4112,1.1661,0.5001,0.5493,0.3688,16.2542
70,IOL_Research,0.8321,15.3413,0.6486,0.8907,0.8874,100,0.6865,-2,-3.4695,-3.6403,-1.4695,-1.4747,0.9866,0.9959,0.9776,0.8308,18.1553,0.5248,55.4358,1.4133,1.1489,0.4361,0.5493,0.3688,11.6333
70,Llama3-70B,0.8733,29.7593,0.8012,0.9297,0.8822,100,0.7021,-2,-3.5877,-3.7895,-1.2898,-1.2368,0.9779,0.9673,0.9715,0.8809,30.9534,0.5811,56.3580,1.4191,1.1619,0.5143,0.5493,0.3688,27.5007
70,NTTSU,0.8506,25.7723,0.7571,0.8964,0.8800,100,0.6860,-2,-3.8666,-3.7355,-1.5035,-1.6297,0.9817,0.9734,0.9671,0.8584,27.5682,0.5565,56.5713,1.4074,1.1477,0.4316,0.5493,0.3688,25.7487
70,ONLINE-B,0.9384,71.4022,0.8007,0.9299,0.7767,100,0.7615,-0,-4.6981,-4.9973,-0.8318,-0.7470,0.9158,0.8940,0.9689,0.9310,64.3450,0.7220,57.2502,1.3874,1.1195,0.4837,0.5493,0.3688,64.4117
70,Team-J,0.8561,26.0694,0.7640,0.9232,0.8777,100,0.7094,-1,-3.3640,-3.7984,-1.1592,-1.2002,0.9721,0.9512,0.9746,0.8509,25.1173,0.5652,56.3273,1.4329,1.1552,0.5106,0.5493,0.3688,23.7937
70,Unbabel-Tower70B,0.8219,13.5210,0.7869,0.9179,0.9022,100,0.6920,-1,-3.2280,-3.5773,-1.3704,-1.3713,0.9955,0.9915,0.9714,0.8196,16.1258,0.5209,55.2158,1.4370,1.1823,0.5690,0.5493,0.3688,10.3337
71,A,0.4859,0.1663,0.1587,0.2597,0.3866,0,0.0198,null,-20.2207,-19.5046,-2.2258,-2.3884,0.0084,0.0089,0.8435,0.4212,1.9608,0.0203,30.4152,0.1195,0.1810,-2.4640,0.2473,0.0538,0.3063
71,Aya23,0.8221,21.2265,0.7273,0.8820,0.8113,100,0.7043,-3,-3.2965,-3.6326,-1.6334,-1.8355,0.7950,0.5321,0.9390,0.8297,20.6281,0.5469,49.9109,1.3811,1.0800,0.2932,0.2473,0.0538,15.6157
71,B,0.6548,5.3172,0.2596,0.4646,0.2633,0,0.4926,null,-16.0398,-15.8678,-2.8578,-3.0774,-0.0274,-0.0102,0.8831,0.6260,8.2022,0.3572,36.7556,0.1477,0.1659,-2.6278,0.2473,0.0538,3.9122
71,C,0.7158,14.1703,0.3278,0.5270,0.3872,20,0.5986,null,-14.0031,-13.7625,-2.9127,-3.1242,0.0622,0.0908,0.9307,0.6886,14.4299,0.4513,35.6292,0.1925,0.2824,-2.2871,0.2473,0.0538,12.8067
71,Claude-3.5,0.8642,42.1985,0.7716,0.9024,0.8974,100,0.7089,-2,-2.9577,-3.0554,-1.4936,-1.5443,0.9646,0.9194,0.9275,0.8679,35.7570,0.6067,50.8345,1.4079,1.1171,0.3389,0.2473,0.0538,34.8242
71,CommandR-plus,0.8323,30.5264,0.7523,0.8838,0.8520,100,0.7024,-3,-3.5801,-3.8239,-1.7188,-1.9134,0.7981,0.7170,0.9408,0.8366,26.6901,0.5683,50.1929,1.3777,1.0681,0.2459,0.2473,0.0538,24.3339
71,D,0.7441,11.3188,0.4455,0.7056,0.5822,33,0.6599,null,-12.1063,-11.5745,-2.5435,-2.8614,0.2933,0.2817,0.9116,0.7286,11.9511,0.4826,41.6581,0.6777,0.8479,-1.0838,0.2473,0.0538,6.6650
71,DLUT_GTCOM,0.8648,40.0452,0.7845,0.9033,0.8843,100,0.7160,-0,-2.5775,-2.9223,-1.3639,-1.5140,0.9621,0.8733,0.9336,0.8664,33.6986,0.6037,53.4105,1.4124,1.1071,0.3227,0.2473,0.0538,33.5410
71,E,0.7952,24.2974,0.5251,0.7399,0.5099,33,0.6556,null,-10.4951,-9.3605,-2.0393,-2.2706,0.3680,0.3289,0.9441,0.7797,22.4230,0.5191,44.9973,0.7594,0.6339,-0.5928,0.2473,0.0538,19.3436
71,F*,0.8049,16.0721,0.6515,0.8577,0.8453,80,0.6791,-7,-5.1800,-5.1391,-1.9623,-2.1957,0.7292,0.5714,0.9297,0.7945,15.8806,0.5100,47.3252,1.2033,1.0420,0.1700,0.2473,0.0538,6.8021
